normalised_key,canonical_name
lask,LASK
laspalmas,Las Palmas
latina,Latina
lausanne,Lausanne
lausanneouchy,Lausanne Ouchy
lausannesport,FC Lausanne-Sport
laval,Laval
lazio,Lazio
lazioroma,Lazio Roma
lecce,Lecce
lecco,Lecco
lechiagdansk,Lechia Gdansk
lechpoznan,Lech Poznan
leczna,Leczna
leeds,Leeds
leganes,Leganes
legia,Legia
legiawarszawa,Legia Warszawa
legnica,Legnica
lehavre,Le Havre
leicester,Leicester
leicestercity,Leicester City
leiria,Leiria
leixoes,Leixoes
lemans,Le Mans
lens,Lens
leonesa,Leonesa
levadeiakos,Levadeiakos
levante,Levante
leverkusen,Leverkusen
levskisofia,Levski Sofia
leytonorient,Leyton Orient
libourne,Libourne
liepaja,FK Liepāja
lierse,Lierse
lille,Lille
lilleosc,Lille OSC
lillestrom,Lillestrom
limerick,Limerick
lincoln,Lincoln
lincolnredimps,Lincoln Red Imps
linfield,Linfield FC
lisen,SK Líšeň
liverpool,Liverpool
livingston,Livingston
livorno,Livorno
livyibereh,Livyi Bereh
ljungskile,Ljungskile
lkslodz,LKS Lodz
llagostera,Llagostera
lleida,Lleida
lnzcherkasy,FC LNZ Cherkasy
logrones,Logrones
lokeren,Lokeren
lokomotivazagreb,Lokomotiva Zagreb
lokomotivmoscow,Lokomotiv Moscow
lokomotivmoskva,Lokomotiv Moskva
lokomotivplovdiv,Lokomotiv Plovdiv
lokomotivsofia,Lokomotiv Sofia
longford,Longford
lorca,Lorca
lorient,Lorient
loughgall,Loughgall FC
louvieroise,Louvieroise
lubeck,Lubeck
ludogoretsrazgrad,PFC Ludogorets Razgrad
lugano,Lugano
lugo,Lugo
luton,Luton
luzern,Luzern
lyngby,Lyngby
lyon,Lyon
maccabihaifa,Maccabi Haifa
maccabipetachtikva,Maccabi Petach-Tikva
maccabitelaviv,Maccabi Tel Aviv
macclesfield,Macclesfield
magdeburg,Magdeburg
mainz,Mainz
makedonijagp,Makedonija GP
malaga,Malaga
malagab,Malaga B
malatyaspor,Malatyaspor
mallorca,Mallorca
malmo,Malmö FF
manchestercity,Manchester City
manchesterunited,Manchester United
mancity,Man City
manisaspor,Manisaspor
mansfield,Mansfield
mantova,Mantova
manunited,Man United
maribor,NK Maribor
mariehamn,Mariehamn
mariscamersch,Marisca Mersch
maritimo,Maritimo
marsaxlokk,Marsaxlokk FC
marseille,Marseille
martigues,Martigues
mastaborsko,FK MAS Táborsko
mattersburg,Mattersburg
maxlinevitebsk,FK Maxline Vitebsk
mechelen,Mechelen
melita,Melita FC
mersinidmanyurdu,Mersin Idman Yurdu
mervue,Mervue
messina,Messina
metalist1925kharkiv,Metalist 1925 Kharkiv
metaloglobusbucharest,Metaloglobus Bucharest
metta,FK Metta
metz,Metz
mezokovesdise,Mezőkövesdi SE
mfkchrudim,MFK Chrudim
mfkkarvina,MFK Karviná
mfkruzomberok,MFK Ružomberok
mfkskalica,MFK Skalica
mfkvyskov,MFK Vyškov
mfkzemplinmichalovce,MFK Zemplín Michalovce
mgladbach,M'gladbach
middlesbrough,Middlesbrough
midtjylland,Midtjylland
milan,Milan
millwall,Millwall
milsami,FC Milsami
miltonkeynesdons,Milton Keynes Dons
minsk,FK Minsk
mioveni,Mioveni
mirandes,Mirandes
mjallby,Mjallby
mjondalen,Mjondalen
mladaboleslav,FK Mladá Boleslav
mladostlucani,Mladost Lučani
modena,Modena
molde,Molde
molodechno,FK Molodechno
molvidi,MOL Vidi FC
monaco,Monaco
monaghan,Monaghan
mondercange,FC Mondercange
mondorf,US Mondorf
montpellier,Montpellier
montpellierhsc,Montpellier HSC
monza,Monza
morecambe,Morecambe
moreirense,Moreirense
mornar,FK Mornar
moss,Moss
mosta,Mosta FC
motherwell,Motherwell
motorlublin,Motor Lublin
mouscron,Mouscron
mouscronperuwelz,Mouscron-Peruwelz
msaransk,M. Saransk
mskzilina,MŠK Žilina
mtkbudapest,MTK Budapest
munich1860,Munich 1860
murcia,Murcia
mynai,FC Mynai
mypa,MyPa
nacbreda,NAC Breda
nacional,Nacional
nafta,NK Nafta
naftannovopolotsk,Naftan Novopolotsk
nancy,Nancy
nantes,Nantes
napoli,Napoli
napredak,FK Napredak
naval,Naval
navodari,Navodari
naxxarlions,Naxxar Lions FC
ndprimorje,ND Primorje
neasalamina,Nea Salamina
neftcipfk,Neftçi PFK
nemangrodno,Neman Grodno
neustadt,Neustadt
newcastle,Newcastle
newcastleunited,Newcastle United FC
newportcounty,Newport County
newrycity,Newry City FC
newsaints,The New Saints
newtown,Newtown AFC
nice,Nice
nijmegen,Nijmegen
nikivolos,Niki Volos
nimes,Nimes
niort,Niort
noah,FC Noah
nocerina,Nocerina
nommeunited,Nõmme United
nordsjaelland,Nordsjaelland
nordsjlland,FC Nordsjælland
norrkoping,Norrkoping
northampton,Northampton
norwich,Norwich
nottmforest,Nott'm Forest
nottscounty,Notts County
novara,Novara
novipazar,FK Novi Pazar
nsirunavik,NSÍ Runavík
nsmura,NŠ Mura
numancia,Numancia
nurnberg,Nurnberg
nyiregyhazaspartacus,Nyíregyháza Spartacus
oberhausen,Oberhausen
obolon,FK Obolon
odd,Odd
odense,Odense
offenbach,Offenbach
ofi,OFI
oficrete,OFI Crete
ofkbeograd,OFK Beograd
ofkmladostdg,OFK Mladost DG
ofkpetrovac,OFK Petrovac
oftasspor,Oftasspor
ogcnice,OGC Nice
oldham,Oldham
oleksandriya,FK Oleksandriya
olhanense,Olhanense
olimpijaljubljana,Olimpija Ljubljana
olympiakos,Olympiakos
olympiakospiraeus,Olympiakos Piraeus
olympiakosvolou,Olympiakos Volou
olympiquelyonnais,Olympique Lyonnais
olympiquemarseille,Olympique Marseille
omonia29ismaiou,Omonia 29is Maiou
omoniaaradippou,Omonia Aradippou
omonianikosia,Omonia Nikosia
oostende,Oostende
ordabasy,FK Ordabasy
orduspor,Orduspor
orebro,Orebro
orenburg,Orenburg
orgryte,Orgryte
orleans,Orleans
osasuna,Osasuna
osijek,NK Osijek
osmanlispor,Osmanlispor
osnabruck,Osnabruck
oster,Oster
osters,Osters
ostersunds,Ostersunds
otelul,Otelul
otelulgalati,Oţelul Galaţi
othellosathienou,Othellos Athienou
otrant,FK Otrant
oudheverleeleuven,Oud-Heverlee Leuven
oulu,AC Oulu
oviedo,Oviedo
oxford,Oxford
pacosferreira,Pacos Ferreira
paderborn,Paderborn
padova,Padova
paeolympiakossfp,PAE Olympiakos SFP
pafos,Pafos FC
paidelinnameeskond,Paide Linnameeskond
paksise,Paksi SE
palermo,Palermo
panathinaikos,Panathinaikos
pandurii,Pandurii
panetolikos,Panetolikos
panevezys,FK Panevėžys
panionios,Panionios
panserraikos,Panserraikos
panthrakikos,Panthrakikos
paok,PAOK
paoksaloniki,PAOK Saloniki
paphos,Paphos FC
pardubice,FK Pardubice
parinn,Pari NN
paris,Paris FC
parissaintgermain,Paris Saint-Germain
parissg,Paris SG
parma,Parma
parnujkvaprus,Pärnu JK Vaprus
partick,Partick
partizan,Partizan
partizani,FK Partizani
pau,Pau FC
pelister,FK Pelister
penafiel,Penafiel
pendikspor,Pendikspor
penybont,Penybont FC
perugia,Perugia
pescara,Pescara
peterboro,Peterboro
petrocub,CS Petrocub
petrolul,Petrolul
piacenza,Piacenza
piastgliwice,Piast Gliwice
pirinblagoevgrad,Pirin Blagoevgrad
pisa,Pisa
pk35vantaa,PK-35 Vantaa
platanias,Platanias
plymouth,Plymouth
podbeskidzie,Podbeskidzie
pogonszczecin,Pogon Szczecin
poliejido,Poli Ejido
poliiasi,Poli Iasi
polissyazhytomyr,Polissya Zhytomyr
politimisoara,Poli Timisoara
poloniawarszawa,Polonia Warszawa
ponferradina,Ponferradina
pontevedra,Pontevedra
pontypriddunited,Pontypridd United
pordenone,Pordenone
portadown,Portadown FC
portimonense,Portimonense
porto,Porto
portogruaro,Portogruaro
portsmouth,Portsmouth
portvale,Port Vale
preston,Preston
preuenmunster,Preußen Münster
prishtina,FC Prishtina
progresniedercorn,Progrès Niedercorn
provercelli,Pro Vercelli
pskemi,PS Kemi
psv,PSV
psveindhoven,PSV Eindhoven
puskas,Puskás FC
puszcza,Puszcza
pyunik,Pyunik FC
qarabag,Qarabağ FK
qarabagagdam,Qarabağ Ağdam FK
qpr,QPR
quevillyrouen,Quevilly Rouen
raallalouviere,RAAL La Louviere
rabotnicki,FK Rabotnički
racinglens,Racing Club de Lens
radnicki1923,FK Radnički 1923
radnickinis,Radnički Niš
radnikbijeljina,Radnik Bijeljina
radniksurdulica,Radnik Surdulica
radomiakradom,Radomiak Radom
radomlje,NK Radomlje
rakow,Rakow
rakowczestochowa,Raków Częstochowa
randers,Randers FC
rangers,Rangers
ranheim,Ranheim
rapid,SK Rapid
rapidbucuresti,FC Rapid Bucuresti
rapidwien,Rapid Wien
ravenna,Ravenna
rayomajadahonda,Rayo Majadahonda
rayovallecano,Rayo Vallecano
rbleipzig,RB Leipzig
rbsalzburg,RB Salzburg
reading,Reading
realbetis,Real Betis
realmadrid,Real Madrid
realmadridb,Real Madrid B
realsociedad,Real Sociedad
realsociedadfutbol,Real Sociedad de Fútbol
realunion,Real Union
recreativo,Recreativo
redbullsalzburg,FC Red Bull Salzburg
redstar,Red Star
regensburg,Regensburg
reggiana,Reggiana
reggina,Reggina
reims,Reims
rennes,Rennes
