date,comp,home,away,hg,ag
2025-11-30,RPL,rostov,lokomotiv,1,3
2025-11-30,RPL,zenit,rubin,1,0
2025-12-01,RPL,sochi,dinamo-mkh,0,0
2025-12-05,RPL,akhmat,orenburg,1,0
2025-12-06,RPL,rostov,rubin,2,0
2025-12-06,RPL,spartak,dinamo-msk,1,1
2025-12-06,RPL,zenit,akron,2,0
2025-12-07,RPL,baltika,krylja,2,0
2025-12-07,RPL,dinamo-mkh,pari-nn,0,1
2025-12-07,RPL,krasnodar,cska,3,2
2025-12-07,RPL,sochi,lokomotiv,2,4
2026-02-27,RPL,zenit,baltika,1,0
2026-02-28,RPL,dinamo-mkh,rubin,2,1
2026-02-28,RPL,krasnodar,rostov,2,1
2026-02-28,RPL,lokomotiv,pari-nn,2,1
2026-02-28,RPL,orenburg,akron,2,0
2026-03-01,RPL,akhmat,cska,1,0
2026-03-01,RPL,dinamo-msk,krylja,4,0
2026-03-02,RPL,sochi,spartak,2,3
2026-03-03,CUP,baltika,zenit,0,1
2026-03-04,CUP,cska,krasnodar,3,1
2026-03-04,CUP,krylja,orenburg,2,0
2026-03-04,CUP,rostov,dinamo-mkh,0,2
2026-03-05,CUP,arsenal-tula,lokomotiv,1,2
2026-03-05,CUP,dinamo-msk,spartak,5,2
2026-03-07,RPL,pari-nn,sochi,2,1
2026-03-07,RPL,rostov,baltika,1,1
2026-03-08,RPL,cska,dinamo-msk,1,4
2026-03-08,RPL,krylja,dinamo-mkh,2,0
2026-03-08,RPL,orenburg,zenit,2,1
2026-03-08,RPL,rubin,krasnodar,2,1
2026-03-09,RPL,lokomotiv,akhmat,2,2
2026-03-09,RPL,spartak,akron,4,3
2026-03-13,RPL,dinamo-mkh,orenburg,1,0
2026-03-14,RPL,baltika,cska,1,0
2026-03-14,RPL,rostov,dinamo-msk,0,1
2026-03-14,RPL,sochi,krasnodar,1,2
2026-03-14,RPL,zenit,spartak,2,0
2026-03-15,RPL,akron,akhmat,1,1
2026-03-15,RPL,pari-nn,krylja,3,0
2026-03-15,RPL,rubin,lokomotiv,3,0
2026-03-17,CUP,krasnodar,cska,4,0
2026-03-18,CUP,spartak,dinamo-msk,1,0
2026-03-18,CUP,zenit,dinamo-mkh,1,0
2026-03-19,CUP,krylja,lokomotiv,2,2
2026-03-21,RPL,akhmat,rostov,1,0
2026-03-21,RPL,baltika,sochi,4,0
2026-03-21,RPL,cska,dinamo-mkh,3,1
