date,fixture,hPct,dPct,aPct,leader,leaderShare,actual,h2hH,h2hD,h2hA,comH,comD,comA,thirdH,thirdD,thirdA,paths,effective
2025-03-07,Pari Nizhny Novgor v FC Krasnodar,14.2,10.4,75.4,A,75.4,A,33,0,67,7,14,79,20,5,75,37,16
2025-03-08,CSKA Moscow v FC Khimki,59.0,18.0,23.0,H,59.0,H,100,0,0,64,29,7,50,5,45,35,14
2025-03-08,Dynamo Moscow v Dynamo Makhachkala,50.0,19.5,30.5,H,50.0,H,100,0,0,50,29,21,40,15,45,36,15
2025-03-08,Fakel Voronezh v Zenit St Petersbur,9.7,6.0,84.3,A,84.3,A,0,0,100,7,14,79,15,0,85,37,16
2025-03-08,FC Orenburg v FC Rostov,20.9,9.7,69.4,A,69.4,A,0,0,100,29,7,64,20,10,70,37,16
2025-03-09,Krylya Sovetov Sam v Akron Tolyatti,41.0,10.7,48.4,A,48.4,A,0,0,100,57,7,36,30,5,65,35,14
2025-03-09,Rubin Kazan v Spartak Moscow,36.9,10.7,52.5,A,52.5,H,0,0,100,21,7,71,55,15,30,35,14
2025-03-11,Dynamo Makhachkala v Lokomotiv Moscow,27.3,15.6,57.0,A,57.0,A,0,50,50,14,14,71,45,10,45,36,15
2025-03-11,FC Krasnodar v Akhmat Grozny,47.8,7.5,44.8,H,47.8,A,33,33,33,93,7,0,10,0,90,37,17
2025-03-12,Akron Tolyatti v Spartak Moscow,29.5,16.4,54.1,A,54.1,A,0,0,100,21,14,64,40,20,40,35,14
2025-03-12,CSKA Moscow v Dynamo Moscow,34.4,0.0,65.6,A,65.6,H,100,0,0,43,0,57,20,0,80,35,14
2025-03-12,Lokomotiv Moscow v Akhmat Grozny,54.7,12.5,32.8,H,54.7,H,50,50,0,71,7,21,50,0,50,36,15
2025-03-12,FC Rostov v Zenit St Petersbur,32.0,14.8,53.3,A,53.3,A,0,0,100,29,14,57,45,5,50,35,14
2025-03-15,Dynamo Makhachkala v Krylya Sovetov Sam,55.5,18.8,25.8,H,55.5,H,100,0,0,57,21,21,55,10,35,36,15
2025-03-15,FC Khimki v Akhmat Grozny,30.3,12.3,57.4,A,57.4,D,0,100,0,50,0,50,15,5,80,35,14
2025-03-15,Lokomotiv Moscow v Dynamo Moscow,32.0,11.5,56.6,A,56.6,H,0,0,100,43,14,43,25,10,65,35,13
2025-03-15,FC Orenburg v Fakel Voronezh,62.3,2.5,35.2,H,62.3,H,0,0,100,50,0,50,80,5,15,35,14
