date,fixture,K,zoneBase,zoneDrop2,sideBase,shareBase,shareDrop2,actual,resBase,resDrop2
2026-05-13,Hearts v Falkirk,2,strong,NC,TA,100.0,,H,W,NC
2026-05-16,Hibernian v Motherwell,2,toss,toss,TA,42.6,0.0,A,L,L
2026-05-16,Celtic v Hearts,2,toss,windraw,TB,42.3,100.0,H,L,W
2026-05-16,Falkirk v Rangers,2,win,windraw,TB,75.7,100.0,A,W,W
2026-05-24,Llapi v Malisheva,2,windraw,NC,TB,100.0,,H,L,NC
2026-05-31,Malisheva v Drita,2,windraw,NC,TB,100.0,,H,L,NC
2026-07-15,Malisheva v Vllaznia,2,windraw,NC,TB,100.0,,H,L,NC
2026-07-23,Malisheva v Hibernian,2,toss,toss,TA,42.9,42.9,H,W,W
2026-07-24,CSKA Moscow v Baltika Kaliningra,2,lean,windraw,TB,52.2,56.7,H,L,L
2026-07-25,Akron Tolyatti v Zenit St Petersbur,2,strong,strong,TB,85.1,85.1,A,W,W
2026-07-25,Dynamo Moscow v Krylya Sovetov Sam,2,win,win,TA,69.3,66.9,D,D,D
2026-07-25,Fakel Voronezh v Dynamo Makhachkala,2,windraw,windraw,TB,57.8,57.8,A,W,W
2026-07-26,Lokomotiv Moscow v Akhmat Grozny,2,win,win,TA,70.6,70.6,D,D,D
2026-07-26,FC Orenburg v FC Rostov,2,win,win,TB,68.8,68.8,H,L,L
2026-07-26,Rubin Kazan v FC Krasnodar,2,windraw,windraw,TB,62.8,60.8,A,W,W
